Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
169;Sial;Mahalini;29/05/2023;0.563;0.431;-6784.0;0.039;0.89;0.0;0.196;6dXiWwFrcGieqnoLYzPNp5
170;MIENTRAS ME CURO DEL CORA;KAROL G;29/05/2023;0.523;0.477;-6786.0;0.392;0.855;0.0;0.57;6otePxalBK8AVa20xhZYVQ
171;When I Was Your Man;Bruno Mars;29/05/2023;0.601;0.271;-8688.0;0.04;0.937;0.0;0.411;0B7wvvmu9EISAwZnOpjhNI
172;Stargirl Interlude;The Weeknd, Lana Del Rey;29/05/2023;0.715;0.47;-12638.0;0.077;0.353;0.092;0.426;5gDWsRxpJ2lZAffh5p7K0w
173;Unstoppable;Sia;29/05/2023;0.468;0.779;-4839.0;0.078;0.112;0.0;0.26;2J2Z1SkXYghSajLibnQHOa
174;Cha Cha Cha;Käärijä;29/05/2023;0.718;0.791;-5572.0;0.045;0.002;0.003;0.743;5RX8T3EoTuXcybAxe6oPAw
175;Creep;Radiohead;29/05/2023;0.515;0.43;-9935.0;0.037;0.01;0.0;0.104;70LcF31zb1H0PyJoS1Sx1r
176;The Color Violet;Tory Lanez;29/05/2023;0.645;0.534;-10.8;0.048;0.157;0.0;0.463;3azJifCSqg9fRij2yKIbWz
177;Something Just Like This;The Chainsmokers, Coldplay;29/05/2023;0.617;0.635;-6769.0;0.032;0.05;0.0;0.446;6RUKPb4LETWmmr3iAEQktW
178;I Was Never There;The Weeknd, Gesaffelstein;29/05/2023;0.323;0.737;-4008.0;0.034;0.142;0.0;0.155;1cKHdTo9u0ZymJdPGSh6nq
179;PROVENZA;KAROL G;29/05/2023;0.87;0.517;-7918.0;0.048;0.576;0.006;0.54;3HqcNJdZ2seoGxhn0wVNDK
180;The Real Slim Shady;Eminem;29/05/2023;0.949;0.661;-4244.0;0.057;0.03;0.0;0.76;3yfqSUWxFvZELEM4PmlwIR
181;All Of The Girls You Loved Before;Taylor Swift;29/05/2023;0.718;0.467;-9.66;0.04;0.707;0.0;0.396;4P9Q0GojKVXpRTJCaL3kyy
182;Shake It Off;Taylor Swift;29/05/2023;0.647;0.8;-5384.0;0.165;0.065;0.0;0.942;0cqRj7pUJDkTCEsJkx8snD
183;METAMORPHOSIS;INTERWORLD;29/05/2023;0.593;0.641;-12727.0;0.099;0.426;0.901;0.147;2ksyzVfU0WJoBpu8otr4pz
184;Sunroof;Nicky Youre, dazy;29/05/2023;0.768;0.714;-5.11;0.04;0.352;0.0;0.842;4h4QlmocP3IuwYEj2j14p8
185;Superman;Eminem, Dina Rae;29/05/2023;0.802;0.755;-3138.0;0.056;0.022;0.0;0.58;4woTEX1wYOTGDqNXuavlRC
186;I AM;IVE;29/05/2023;0.683;0.875;-4866.0;0.055;0.012;0.0;0.384;70t7Q6AYG6ZgTYmJWcnkUM
187;Every Breath You Take;The Police;29/05/2023;0.82;0.452;-9796.0;0.035;0.543;0.003;0.74;1JSTJqkT5qHq8MDJnJbRE1
188;Wake Me Up;Avicii;29/05/2023;0.532;0.783;-5697.0;0.052;0.004;0.001;0.643;0nrRP2bk19rLc0orkWPQk2
189;Shut up My Moms Calling;Hotel Ugly;29/05/2023;0.485;0.409;-10711.0;0.101;0.325;0.0;0.376;3hxIUxnT27p5WcmjGUXNwx
190;Lover;Taylor Swift;29/05/2023;0.359;0.543;-7582.0;0.092;0.492;0.0;0.453;1dGr1c8CrMLDpV6mPbImSI
191;Demons;Imagine Dragons;29/05/2023;0.505;0.71;-3015.0;0.032;0.19;0.0;0.428;5qaEfEh1AtSdrdrByCP7qR
192;Shivers;Ed Sheeran;29/05/2023;0.788;0.859;-2724.0;0.086;0.281;0.0;0.822;3xWGA8pa0IKFI7IMPri4P0
193;MERCHO;LiL CaKe, Migrantes, Nico Valdi;29/05/2023;0.838;0.79;-1602.0;0.108;0.431;0.0;0.962;1DxEbt6OSbrkRthk6pjZue
194;Car's Outside;James Arthur;29/05/2023;0.338;0.562;-7181.0;0.029;0.039;0.0;0.259;0otRX6Z89qKkHkQ9OqJpKt
195;Un Finde | CROSSOVER #2;Big One, FMK, Ke Personajes;29/05/2023;0.499;0.519;-8199.0;0.06;0.109;0.0;0.848;3tiJUOfAEqIrLFRQgGgdoY
196;Ditto;NewJeans;29/05/2023;0.814;0.641;-5957.0;0.111;0.027;0.0;0.183;3r8RuvgbX9s7ammBn07D3W
197;Say You Won't Let Go;James Arthur;29/05/2023;0.358;0.557;-7398.0;0.059;0.695;0.0;0.494;5uCax9HTNlzGybIStD3vDh
198;One Dance;Drake, Wizkid, Kyla;29/05/2023;0.792;0.625;-5609.0;0.054;0.008;0.002;0.37;1zi7xx7UVEFkmKfv06H8x0
199;You Proof;Morgan Wallen;29/05/2023;0.732;0.839;-5007.0;0.035;0.265;0.0;0.629;5W4kiM2cUYBJXKRudNyxjW
200;The Night We Met;Lord Huron;29/05/2023;0.544;0.369;-9514.0;0.038;0.969;0.279;0.102;3hRV0jL3vUpRrcy398teAU
