Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
39;Tattoo;Loreen;29/05/2023;0.545;0.779;-6235.0;0.075;0.243;0.0;0.303;1DmW5Ep6ywYwxc2HMT5BG6
40;Another Love;Tom Odell;29/05/2023;0.442;0.538;-8.55;0.045;0.717;0.0;0.139;7jtQIBanIiJOMS6RyCx6jZ
41;golden hour;JVKE;29/05/2023;0.515;0.593;-4801.0;0.032;0.653;0.162;0.153;5odlY52u43F5BjByhxg7wg
42;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;29/05/2023;0.551;0.55;-5339.0;0.029;0.777;0.0;0.342;1Y3LN4zO1Edc2EluIoSPJN
43;Starboy;The Weeknd, Daft Punk;29/05/2023;0.679;0.587;-7015.0;0.276;0.141;0.0;0.486;7MXVkk9YMctZqd1Srtv4MB
44;Like Crazy;Jimin;29/05/2023;0.629;0.733;-5445.0;0.042;0.003;0.0;0.362;3Ua0m0YmEjrMi9XErKcNiR
45;AMG;Natanael Cano, Peso Pluma, Gabito Ballesteros;29/05/2023;0.772;0.73;-6657.0;0.097;0.152;0.0;0.786;1lRtH4FszTrwwlK5gTSbXO
46;Yellow;Coldplay;29/05/2023;0.429;0.661;-7227.0;0.028;0.002;0.0;0.285;3AJwUDP919kvQ9QcozQPxg
47;Por las Noches;Peso Pluma;29/05/2023;0.807;0.595;-7.19;0.033;0.31;0.0;0.392;2VzCjpKvPB1l1tqLndtAQa
48;La Bachata;Manuel Turizo;29/05/2023;0.835;0.679;-5329.0;0.036;0.583;0.0;0.85;3tt9i3Hhzq84dPS8H7iSiJ
49;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;29/05/2023;0.712;0.463;-7399.0;0.08;0.011;0.0;0.206;0NZPBYD5qbEWRs3PrGiRkT
50;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap, Shakira;29/05/2023;0.778;0.632;-5.6;0.049;0.274;0.0;0.498;4nrPB8O7Y7wsOCJdgXkthe
